Title,"Ach Gott, erhor', mein Seufzen und Wehklagen"
Meter,4
Key,2
Tonality,minor
First_On_Beat,2
Soprano,"26, 29, 29, 31, 31, 33, 33, 34, 33, 31, 31, 29, 24, 29, 29, 31, 31, 33, 33, 31, 29, 28, 28, 26, 33, 29, 31, 28, 33, 29, 31, 28, 28, 29, 29, 31, 31, 33, 33, 31, 29, 28, 28, 26"
Alto,"21, 26, 29, 29, 28, 24, 26, 31, 29, 28, 28, 24, 21, 17, 26, 26, 24, 24, 29, 28, 26, 26, 25, 21, 28, 26, 26, 25, 28, 24, 26, 24, 24, 24, 26, 26, 28, 26, 29, 28, 26, 26, 25, 21"
Tenor,"17, 21, 24, 26, 24, 21, 17, 16, 24, 19, 24, 21, 17, 21, 22, 22, 19, 17, 24, 24, 21, 22, 21, 17, 21, 21, 22, 21, 21, 21, 19, 19, 19, 21, 21, 22, 24, 21, 26, 22, 21, 22, 21, 18"
Bass,"14, 14, 9, 10, 12, 17, 14, 7, 9, 10, 12, 5, 17, 14, 10, 7, 4, 5, 9, 12, 14, 7, 9, 14, 13, 14, 7, 9, 12, 12, 11, 12, 12, 9, 14, 10, 12, 17, 14, 13, 14, 7, 9, 14"
Chords,"i', 'i', 'bIII', 'iv', 'bVII', 'bIII', 'i', 'ii_dim', 'bIII', 'ii_dim', 'bVII', 'bIII', 'bIII', 'i', 'bVI', 'iv', 'bVII', 'bIII', 'bIII', 'bVII', 'i', 'ii_dim', 'V', 'i', 'V', 'i', 'iv', 'V', 'v', 'bIII', 'IV', 'bVII', 'bVII', 'bIII', 'i', 'iv', 'bVII', 'i', 'i', 'vii_dim', 'i', 'ii_dim', 'V', 'I'"
