Title,Ach bleib' bei unsm Herr Jesu Christ (part)
Meter,4
Key,9
Tonality,major
First_On_Beat,2
Soprano,"37, 37, 40, 37, 33, 35, 37, 38, 37, 35, 33, 33, 35, 37, 37, 35, 35, 33, 33, 33"
Alto,"33, 33, 35, 33, 33, 31, 28, 30, 28, 28, 25, 30, 30, 28, 28, 28, 28, 25, 25, 25"
Tenor,"28, 28, 28, 28, 26, 26, 21, 21, 21, 20, 21, 26, 26, 25, 21, 20, 20, 16, 16, 16"
Bass,"9, 21, 20, 21, 18, 19, 21, 14, 9, 16, 18, 14, 18, 21, 13, 16, 16, 9, 9, 9"
Chords,"I', 'I', 'V', 'I', 'IV', 'bVII', 'I', 'IV', 'I', 'V', 'vi', 'IV', 'ii', 'I', 'I', 'V', 'V', 'I', 'I', 'I'"
