Title,Ach bleib' bei unsm Herr Jesu Christ
Meter,4
Key,9
Tonality,major
First_On_Beat,2
Soprano,"37, 37, 40, 37, 33, 35, 37, 38, 37, 35, 33, 33, 35, 37, 37, 35, 35, 33, 33, 33, 37, 35, 37, 33, 30, 32, 33, 35, 37, 33, 33, 33, 35, 37, 37, 35, 35, 33, 33, 33"
Alto,"33, 33, 35, 33, 33, 31, 28, 30, 28, 28, 25, 30, 30, 28, 28, 28, 28, 25, 25, 25, 33, 32, 32, 30, 27, 28, 28, 28, 29, 25, 30, 28, 30, 33, 28, 28, 28, 25, 25, 25"
Tenor,"28, 28, 28, 28, 26, 26, 21, 21, 21, 20, 21, 26, 26, 25, 21, 20, 20, 16, 16, 16, 28, 28, 25, 25, 23, 23, 21, 20, 20, 21, 26, 25, 23, 21, 21, 21, 20, 16, 16, 16"
Bass,"9, 21, 20, 21, 18, 19, 21, 14, 9, 16, 18, 13, 18, 21, 14, 16, 16, 9, 9, 9, 9, 16, 17, 18, 23, 20, 18, 16, 25, 18, 18, 21, 20, 18, 13, 16, 16, 9, 9, 9"
Chords,"I', 'I', 'V', 'I', 'IV', 'bVII', 'I', 'IV', 'I', 'V', 'vi', 'IV', 'ii', 'I', 'I', 'V', 'V', 'I', 'I', 'I', 'I', 'V', 'III', 'vi', 'II', 'V', 'vii_dim/V', 'V', 'III', 'vi', 'IV', 'I', 'V', 'vi', 'I', 'V', 'V', 'I', 'I', 'I'"
