,Chord_2,,,,,,,,,,,,
Chord_1,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,0.1,0.4,0.7,0.3,0.4,0,0,0.2,0.4,0.5,1,1
1,0.1,0,0.3,0.8,0.2,0.4,0.1,0,0.1,0.3,0.5,1,0.7
2,0.5,0.9,0,1,0.9,0.8,1,0,0.2,0.3,0.8,0.9,0.9
3,1,0.9,1,0,1,0,0,1,0.9,0,0.9,1,1
4,0.2,0.6,0.8,1,0,0.4,0.3,0.3,0,0.1,0.9,0.8,0.6
5,1,0.9,1,0.9,0.9,0,0.6,0.9,0,0.1,1,0.4,0.3
6,0,0.1,0.4,0.5,0.3,0.4,0,0,0.2,0.4,0.5,1,1
7,0,0.1,0.3,0.7,0.3,0.4,0.2,0,0.1,0.4,0.3,0.6,0.6
8,0.4,0,0.4,0.9,0.1,0.2,0.1,0.1,0,0.3,0.6,0.8,0.8
9,1,0,0.1,1,0.5,0.3,1,0.9,0.9,0,1,1,0.7
10,0.1,0.3,0.8,0.9,0.9,0.4,1,0.2,0.3,0.8,0,1,1
11,0.9,1,0.8,1,0,0.1,1,0.9,0.9,0.9,1,0,0.5
12,1,1,1,1,0,0.1,1,1,0.9,0.9,1,0.9,0
