,Chord_2,,,,,,,,,,,
Chord_1,i,I,bII,ii_dim,II,bIII,iv,v,V,bVI,bVII,vii_dim
i,0,0.3,0.9,0.3,0.4,0.6,0,0.1,0,0.3,0.7,0.2
I,1,0,1,0.8,0.4,1,0,0.8,0.3,1,1,0.8
bII,0.9,0.1,0,0.9,1,0.1,0.9,1,0.1,0.1,0.2,0.8
ii_dim,0.1,0.2,0.9,0,0.4,0.1,0.3,0.8,0,0.9,0.8,0.3
II,0.9,0.8,1,0.8,0,0.4,1,0.1,0,1,0.8,0.4
bIII,0.2,0.4,1,0.2,0.8,0,0.1,0.5,0.3,0,0.1,0.4
iv,0,0.2,0.3,0.2,0.3,0.3,0,0.1,0,0.3,0.3,0.2
v,0,0.1,1,0.9,0.5,0.4,0.3,0,0.3,0.3,0.4,0.5
V,0,0.1,0.9,0.5,0.4,0.9,0,0.1,0,0.8,1,0.3
bVI,0.3,0.4,0.1,0.4,0.6,0.1,0.2,0.4,0,0,0.1,0.5
bVII,0.6,0.1,0.8,0.3,0.9,0,9,0.4,0.5,0.3,0,0.8
vii_dim,0.1,0.2,1,0.4,1,1,0.9,0.9,0.3,0.9,1,0
